date,close,high,low,open,volume
2015-02-02 09:15:00+05:30,390.4,391,388.5,389.9,36080
2015-02-02 09:16:00+05:30,389.4,390.5,389.4,390.5,27956
2015-02-02 09:17:00+05:30,389.9,390.15,388.8,389.5,18499
2015-02-02 09:18:00+05:30,390.15,390.4,389.6,389.85,18533
2015-02-02 09:19:00+05:30,391.3,391.6,390.15,390.15,16114
2015-02-02 09:20:00+05:30,391.65,391.9,391.2,391.2,8797
2015-02-02 09:21:00+05:30,390.75,391.85,390.55,391.65,12977
2015-02-02 09:22:00+05:30,389.6,390.85,389.6,390.75,15876
2015-02-02 09:23:00+05:30,389.15,389.95,389.1,389.75,9874
2015-02-02 09:24:00+05:30,388.8,389.3,388.5,389.3,17947
2015-02-02 09:25:00+05:30,389.25,389.45,388.7,389,13974
2015-02-02 09:26:00+05:30,389.55,389.8,389.15,389.2,5328
2015-02-02 09:27:00+05:30,389.3,389.55,388.7,389.55,5764
2015-02-02 09:28:00+05:30,389.75,389.8,389.25,389.3,4738
2015-02-02 09:29:00+05:30,389.8,390.1,389.6,389.75,7150
2015-02-02 09:30:00+05:30,390,390,389.5,389.8,5834
2015-02-02 09:31:00+05:30,390.15,390.25,389.7,390,2646
2015-02-02 09:32:00+05:30,389.6,390.4,389.35,390.4,8539
2015-02-02 09:33:00+05:30,389.6,389.7,389,389.6,4810
2015-02-02 09:34:00+05:30,390,390,389.7,389.8,8789
2015-02-02 09:35:00+05:30,391.95,391.95,389.75,389.8,27574
2015-02-02 09:36:00+05:30,391.65,392.5,391.35,391.9,33875
2015-02-02 09:37:00+05:30,391.45,392,390.4,391.9,28670
2015-02-02 09:38:00+05:30,391.2,391.8,391.15,391.5,6073
2015-02-02 09:39:00+05:30,390.6,392,390.6,391.05,14566
2015-02-02 09:40:00+05:30,390.75,392.45,390.5,390.6,38110
2015-02-02 09:41:00+05:30,391.25,391.5,390.9,391,7104
2015-02-02 09:42:00+05:30,391.65,392,391.25,391.25,8167
2015-02-02 09:43:00+05:30,391.55,391.75,391.15,391.65,5681
2015-02-02 09:44:00+05:30,392.2,392.4,391.8,391.85,6681
2015-02-02 09:45:00+05:30,391.7,392.2,391.45,392.2,4960
2015-02-02 09:46:00+05:30,392,392,391.5,391.9,4279
2015-02-02 09:47:00+05:30,392.9,393.2,391.8,392,31592
2015-02-02 09:48:00+05:30,392,393.4,391.85,392.9,15160
2015-02-02 09:49:00+05:30,392.9,393.5,392,392,21057
2015-02-02 09:50:00+05:30,393.05,393.35,392.55,392.9,9467
2015-02-02 09:51:00+05:30,393.3,393.3,393,393.05,8018
2015-02-02 09:52:00+05:30,393,393.45,393,393.3,10383
2015-02-02 09:53:00+05:30,393,393.35,392.85,392.85,12059
2015-02-02 09:54:00+05:30,393.1,393.15,392.55,393,6365
2015-02-02 09:55:00+05:30,392.4,393.2,391.75,393,10380
2015-02-02 09:56:00+05:30,392.75,392.9,392.25,392.4,6606
2015-02-02 09:57:00+05:30,393.1,393.25,392.75,392.75,5700
